[2014-03-23 21:18:31,968] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (44.057735,28.596516,'2014-03-23 21:18:31','Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
[2014-03-23 21:18:32,184] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.331103,22.822643,'2014-03-23 21:18:32','Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 21:18:32,186] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,PostedTime,route,         sublocality, city, country) values (45.331103,22.822643,'2014-03-23 21:18:32','Platoul Rades-Zlata','Judetul Hunedoara','Rau de Mori','Romania');
[2014-03-23 21:18:32,236] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : SELECT * FROM VictimLocation;
[2014-03-23 21:18:32,260] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM VictimLocation;
[2014-03-23 21:35:05,139] in file: Database.py, module: Database at line 38 in __init__() | INFO | Connection succesful to database
[2014-03-23 21:35:32,243] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : select lat, lng from VictimLocation
[2014-03-23 21:35:32,244] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: select lat, lng from VictimLocation
[2014-03-23 21:37:05,324] in file: Database.py, module: Database at line 38 in __init__() | INFO | Connection succesful to database
[2014-03-23 21:37:42,027] in file: Database.py, module: Database at line 51 in execute_sql() | DEBUG | SQL query was : select lat, lng from VictimLocation order by PostedTime desc limit 5
[2014-03-23 21:37:42,260] in file: Database.py, module: Database at line 55 in execute_sql() | DEBUG | SQL query executed was: select lat, lng from VictimLocation order by PostedTime desc limit 5
